epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.466,1.46238,2.76125,1.3866,0.684,0.226,0.21586,0.11793,1.39606,7.02901,1.30734,0.00333212,0.00333212,0.00333212
2,506.609,1.51665,2.03572,1.39167,0.53393,0.25807,0.21601,0.11816,1.49795,6.86648,1.33442,0.00644549,0.00644549,0.00644549
3,744.178,1.59962,2.06317,1.4362,0.49349,0.23783,0.19259,0.10267,1.57566,5.67815,1.39971,0.00933887,0.00933887,0.00933887
4,983.143,1.62699,2.03705,1.45166,0.37589,0.24956,0.23786,0.12782,1.49718,7.57326,1.3629,0.00901,0.00901,0.00901
5,1217.91,1.56354,1.86528,1.41183,0.31589,0.27627,0.26127,0.14398,1.45962,6.24012,1.3291,0.00868,0.00868,0.00868
6,1452.11,1.50843,1.74432,1.38155,0.39246,0.33982,0.28671,0.16233,1.43206,6.21567,1.32684,0.00835,0.00835,0.00835
7,1684.67,1.48388,1.66689,1.36565,0.36926,0.3442,0.31992,0.18154,1.39757,4.89167,1.28181,0.00802,0.00802,0.00802
8,1920.44,1.45653,1.60468,1.34693,0.45399,0.32499,0.31604,0.1807,1.36166,5.92597,1.26041,0.00769,0.00769,0.00769
9,2161.02,1.42898,1.55534,1.3257,0.52313,0.32563,0.33222,0.19645,1.32996,6.87578,1.23127,0.00736,0.00736,0.00736
10,2394.58,1.41533,1.50812,1.31679,0.44934,0.35289,0.34585,0.20402,1.30866,6.79043,1.21611,0.00703,0.00703,0.00703
11,2629.46,1.38557,1.46944,1.30025,0.44735,0.38929,0.36607,0.22093,1.27679,6.90873,1.20713,0.0067,0.0067,0.0067
12,2856.15,1.37444,1.4403,1.2983,0.48169,0.38055,0.3736,0.22253,1.2958,7.53248,1.20656,0.00637,0.00637,0.00637
13,3087.66,1.3609,1.40553,1.28774,0.578,0.35463,0.37164,0.22493,1.27384,6.74989,1.19034,0.00604,0.00604,0.00604
14,3321.21,1.34649,1.37642,1.27419,0.4956,0.40792,0.39803,0.24229,1.25003,6.89994,1.18021,0.00571,0.00571,0.00571
15,3552.82,1.33301,1.35969,1.26912,0.55054,0.38556,0.40945,0.24938,1.22329,6.99634,1.16387,0.00538,0.00538,0.00538
16,3783.3,1.31957,1.31441,1.25723,0.56676,0.38799,0.40926,0.25266,1.22261,6.93368,1.15905,0.00505,0.00505,0.00505
17,4014.96,1.30932,1.29852,1.24888,0.4961,0.42094,0.4175,0.25535,1.22254,7.5504,1.15486,0.00472,0.00472,0.00472
18,4252.38,1.2988,1.277,1.24528,0.53806,0.42792,0.43499,0.2696,1.2088,7.61944,1.14477,0.00439,0.00439,0.00439
19,4481.39,1.28534,1.258,1.23834,0.54934,0.42765,0.43321,0.26919,1.19004,8.08398,1.1364,0.00406,0.00406,0.00406
20,4711.75,1.27015,1.22527,1.23096,0.5423,0.42322,0.43016,0.26589,1.1857,7.29703,1.13104,0.00373,0.00373,0.00373
21,4945.89,1.23359,1.06766,1.20909,0.56507,0.42942,0.44149,0.27314,1.17805,7.89877,1.12877,0.0034,0.0034,0.0034
22,5178.75,1.20401,1.02386,1.19366,0.58305,0.41441,0.4435,0.27446,1.17111,7.99004,1.11993,0.00307,0.00307,0.00307
23,5415.47,1.19097,0.98577,1.18246,0.57626,0.43096,0.4516,0.28173,1.17161,8.06577,1.12006,0.00274,0.00274,0.00274
24,5656.8,1.17301,0.95896,1.17476,0.56712,0.45777,0.45947,0.28572,1.16134,8.15768,1.11571,0.00241,0.00241,0.00241
25,5893.75,1.16077,0.93689,1.16425,0.58609,0.43746,0.4572,0.28801,1.15266,8.13864,1.10892,0.00208,0.00208,0.00208
26,6128.53,1.15157,0.90725,1.16091,0.59497,0.43714,0.45706,0.28862,1.14888,8.20265,1.10759,0.00175,0.00175,0.00175
27,6362.14,1.13062,0.89496,1.14773,0.61465,0.42404,0.45858,0.28935,1.14111,8.4303,1.09958,0.00142,0.00142,0.00142
28,6597.48,1.11032,0.86422,1.13361,0.6004,0.44121,0.46169,0.29124,1.13826,8.5049,1.09607,0.00109,0.00109,0.00109
29,6836.62,1.09959,0.84389,1.1285,0.59383,0.44847,0.46302,0.29204,1.13818,8.5731,1.09365,0.00076,0.00076,0.00076
30,7073.35,1.08961,0.83008,1.12321,0.59274,0.44143,0.46574,0.29392,1.13599,8.58153,1.09195,0.00043,0.00043,0.00043
