epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6286,1.42673,3.36153,1.32952,0.2611,0.33394,0.23291,0.12628,1.44811,2.37387,1.34422,0.000302109,0.000302109,0.000302109
2,171.381,1.56439,2.71676,1.41117,0.30053,0.34898,0.2528,0.13543,1.59838,2.41341,1.418,0.00058514,0.00058514,0.00058514
3,197.901,1.56602,2.58918,1.41125,0.34308,0.35823,0.24401,0.12069,1.58864,2.52795,1.46204,0.000848174,0.000848174,0.000848174
4,224.73,1.5618,2.53756,1.41326,0.34544,0.38058,0.31255,0.15688,1.57218,2.09359,1.43607,0.000819009,0.000819009,0.000819009
5,251.009,1.50489,2.39604,1.38511,0.41512,0.3739,0.35259,0.20367,1.49892,2.07555,1.36036,0.000789012,0.000789012,0.000789012
6,278.11,1.5184,2.30768,1.39196,0.40742,0.45114,0.35849,0.20583,1.46734,1.98019,1.37188,0.000759015,0.000759015,0.000759015
7,305.704,1.47309,2.2355,1.36613,0.45736,0.38762,0.41157,0.24044,1.46965,1.87623,1.38152,0.000729018,0.000729018,0.000729018
8,334.435,1.42955,2.15367,1.34186,0.46721,0.41166,0.40037,0.23875,1.42493,1.81559,1.34138,0.000699021,0.000699021,0.000699021
9,361.176,1.42004,2.08593,1.33609,0.52095,0.41243,0.43416,0.24688,1.36928,1.79659,1.30229,0.000669024,0.000669024,0.000669024
10,388.225,1.37843,2.00927,1.30682,0.41637,0.48414,0.41979,0.24497,1.4088,1.81131,1.34199,0.000639027,0.000639027,0.000639027
11,416.254,1.38598,1.94563,1.31272,0.52666,0.4091,0.46155,0.28695,1.3673,1.73863,1.30452,0.00060903,0.00060903,0.00060903
12,443.92,1.37028,1.92056,1.29321,0.49775,0.52486,0.47282,0.28167,1.38802,1.69397,1.32408,0.000579033,0.000579033,0.000579033
13,470.631,1.36776,1.86125,1.29403,0.52294,0.47048,0.48759,0.2887,1.35924,1.60329,1.27652,0.000549036,0.000549036,0.000549036
14,500.951,1.32174,1.82947,1.2763,0.53266,0.5158,0.51594,0.30055,1.33946,1.63658,1.26273,0.000519039,0.000519039,0.000519039
15,530.766,1.30566,1.75988,1.26391,0.59292,0.46818,0.52938,0.32056,1.29091,1.57345,1.24719,0.000489042,0.000489042,0.000489042
16,558.54,1.28872,1.70819,1.24504,0.54028,0.58215,0.55041,0.3261,1.31861,1.49652,1.25331,0.000459045,0.000459045,0.000459045
17,585.959,1.289,1.6842,1.24309,0.53659,0.56923,0.5269,0.3261,1.28174,1.60274,1.23557,0.000429048,0.000429048,0.000429048
18,613.682,1.27651,1.66685,1.24559,0.54808,0.60815,0.55675,0.33474,1.29857,1.62149,1.24514,0.000399051,0.000399051,0.000399051
19,640.385,1.25272,1.61992,1.22436,0.5805,0.55828,0.55468,0.34034,1.29253,1.50803,1.23274,0.000369054,0.000369054,0.000369054
20,667.398,1.23547,1.58144,1.21581,0.58524,0.54584,0.56886,0.36882,1.27342,1.44766,1.21384,0.000339057,0.000339057,0.000339057
21,694.866,1.16978,1.51466,1.18105,0.57584,0.57216,0.58108,0.36793,1.27435,1.48522,1.22849,0.00030906,0.00030906,0.00030906
22,722.71,1.14291,1.40582,1.15208,0.55618,0.59644,0.57115,0.36245,1.2947,1.45295,1.23905,0.000279063,0.000279063,0.000279063
23,749.655,1.11467,1.34913,1.14642,0.6107,0.60243,0.62084,0.39354,1.25247,1.42924,1.21346,0.000249066,0.000249066,0.000249066
24,776.375,1.10653,1.31631,1.13959,0.65808,0.54435,0.57618,0.35459,1.30259,1.47883,1.22516,0.000219069,0.000219069,0.000219069
25,803.443,1.09318,1.26385,1.12192,0.64534,0.50019,0.57782,0.36048,1.27735,1.44428,1.21063,0.000189072,0.000189072,0.000189072
26,830.162,1.07889,1.22227,1.11842,0.59668,0.59882,0.58412,0.36747,1.26043,1.42387,1.21986,0.000159075,0.000159075,0.000159075
27,859.711,1.04175,1.16294,1.09904,0.61639,0.60026,0.6157,0.38427,1.25538,1.40647,1.21351,0.000129078,0.000129078,0.000129078
28,887.732,1.04869,1.17204,1.10012,0.60793,0.58724,0.59184,0.37447,1.26324,1.39936,1.22315,9.9081e-05,9.9081e-05,9.9081e-05
29,915.637,1.02205,1.12239,1.09381,0.59041,0.63365,0.61942,0.39491,1.24259,1.38297,1.20316,6.9084e-05,6.9084e-05,6.9084e-05
30,942.029,1.03258,1.1087,1.09542,0.60961,0.60257,0.62465,0.3955,1.24076,1.37378,1.1957,3.9087e-05,3.9087e-05,3.9087e-05
